"filename", "language", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\JOHN\macgroup-\src\Components\Team\Team.scss", "SCSS", 0, 0, 399, 0, 0, 0, 0, 0, 1, 49, 449
"c:\Users\JOHN\macgroup-\src\Components\Values\Values.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 89
"c:\Users\JOHN\macgroup-\src\Components\Values\Values.styles.scss", "SCSS", 0, 0, 115, 0, 0, 0, 0, 0, 2, 16, 133
"c:\Users\JOHN\macgroup-\src\Components\Websites\Website.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\JOHN\macgroup-\src\Components\Websites\Website.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JOHN\macgroup-\src\Logo.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\JOHN\macgroup-\src\index.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\JOHN\macgroup-\src\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\JOHN\macgroup-\src\pages\404Page\404.styles.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\JOHN\macgroup-\src\pages\404Page\404Page.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\JOHN\macgroup-\src\pages\About\About.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"c:\Users\JOHN\macgroup-\src\pages\About\About.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\JOHN\macgroup-\src\pages\ContactPage\Contact.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\JOHN\macgroup-\src\pages\ContactPage\ContactCus.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 4, 6, 91
"c:\Users\JOHN\macgroup-\src\pages\Email.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\JOHN\macgroup-\src\pages\HomePage.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\JOHN\macgroup-\src\pages\LocationMap\Location.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 1, 5, 44
"c:\Users\JOHN\macgroup-\src\pages\LocationMap\Location.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JOHN\macgroup-\src\pages\PricingContact\PricingContact.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\JOHN\macgroup-\src\pages\PricingContact\PricingContact.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\JOHN\macgroup-\src\pages\Pricing\Pricing.js", "JavaScript", 336, 0, 0, 0, 0, 0, 0, 0, 3, 14, 353
"c:\Users\JOHN\macgroup-\src\pages\Pricing\Pricing.scss", "SCSS", 0, 0, 344, 0, 0, 0, 0, 0, 28, 50, 422
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\App\AppDev.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Branding\Branding.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 0, 0, 5, 159
